카테고리,이름,구독자 수,조회수,영상 수
[음악/댄스/가수],강다니엘 KANGDANIEL,109만,1억7574만,113
[음식/요리/레시피],BenDeen,109만,1억3714만,283
[음악/댄스/가수],PLEDIS ENTERTAINMENT,109만,2억7584만,250
[TV/방송],한문철 TV,109만,9억2561만,"12,719"
[음악/댄스/가수],UPVOTE Entertainment,109만,2억5780만,"1,293"
[취미/라이프],rappeler하쁠리,109만,4억1818만,678
[주식/경제/부동산],미래에셋 스마트머니,108만,8830만,"1,041"
[음식/요리/레시피],이 남자의 cook,108만,1억9436만,524
[주식/경제/부동산],[삼성증권] Samsung POP,108만,1억0616만,884
[회사/오피셜],미스&미스터트롯 공식계정,108만,8억0627만,"2,943"
[TV/방송],V LIVE,108만,6억3045만,"2,755"
[TV/방송],Dingo K-Drama,108만,1억9546만,411
[키즈/어린이],마이린 TV,108만,7억3225만,"2,253"
[BJ/인물/연예인],성수커플 - S.S Couple,108만,3억2296만,386
[TV/방송],뻑가 PPKKa,107만,6억2653만,706
[취미/라이프],효기심,107만,1억3158만,176
[음악/댄스/가수],CNBLUE (씨엔블루),106만,2억1167만,181
[TV/방송],SK telecom,106만,8억8181만,"2,297"
[TV/방송],sankok esl,106만,874만,99
[BJ/인물/연예인],조섭 Jossup,106만,4억4408만,"1,182"
[애완/반려동물],정브르,106만,4억8166만,"1,481"
[BJ/인물/연예인],Sibongtv 시봉tv,106만,6284만,277
[음악/댄스/가수],MORE THAN YOUTH,105만,2억4853만,700
[음악/댄스/가수],Rock Music,105만,5억5897만,"7,689"
[게임],겜브링 GGAM BRING,105만,11억5661만,"2,051"
[음식/요리/레시피],핫도그TV,105만,7억2945만,870
[TV/방송],이슈텔러 issueTeller,105만,4억4938만,564
[TV/방송],밍꼬발랄Mingggo,105만,12억8537만,857
[패션/미용],써니채널 Sunny's Channel,104만,9463만,162
[패션/미용],kiu기우쌤,104만,2억8237만,311
[음악/댄스/가수],빅마블,104만,819만,9
[음식/요리/레시피],얌무YAMMoo,104만,2억0230만,592
[교육/강의],법륜스님의 즉문즉설,103만,6억7276만,"1,786"
[뉴스/정치/사회],비디오머그 - VIDEOMUG,103만,16억9646만,"5,029"
[영화/만화/애니],드림텔러(DreamTeller),103만,4억7383만,488
[BJ/인물/연예인],소근커플 S.K.Couple,103만,3억5858만,393
[취미/라이프],Bandung Oppa 반둥오빠,103만,8392만,346
[스포츠/운동],힙으뜸,102만,1억7037만,326
[키즈/어린이],브레드이발소,102만,4억3580만,622
[게임],킴성태TV,102만,6억8501만,"1,604"
[취미/라이프],츄팝,102만,4억6610만,456
[영화/만화/애니],DinoCore TUBA,101만,6억9891만,894
[키즈/어린이],JoyKids,101만,5억6593만,149
[교육/강의],공부의신 강성태,101만,2억6164만,"2,568"
[음악/댄스/가수],SUPER SOUND Bugs!,101만,6억4546만,"2,958"
[영화/만화/애니],B Man 삐맨,101만,4억7729만,504
[BJ/인물/연예인],헌터퐝,100만,1억9456만,253
[영화/만화/애니],달빛뮤즈,100만,2억1614만,382
[게임],기리TV,100만,9억7911만,"2,539"
[게임],쁘허,100만,3억5223만,940
[TV/방송],딩고 / dingo,99만,3억2640만,667
[IT/기술/컴퓨터],약사가 들려주는 약 이야기,99만,1억1527만,445
[TV/방송],우와한 비디오,99만,10억8532만,"1,128"
[미분류],수빙수tv sooBingsoo,98만,2억8178만,246
[BJ/인물/연예인],유준호,98만,4억2043만,"1,238"
[취미/라이프],집꾸미기,98만,9159만,218
[미분류],히밥heebab,97만,2억2588만,334
[TV/방송],모비딕 Mobidic,97만,2억9717만,"1,161"
[취미/라이프],Kim Miso,97만,5613만,289
[영화/만화/애니],Puuung,97만,4566만,301
[취미/라이프],ColorMonsters Toy,97만,5억4487만,"1,040"
[미분류],논리왕 전기,97만,9717만,80
[게임],램램TV,97만,7억8705만,"2,168"
[미분류],채꾸똥꾸 (Cherry & Dong),97만,2억5189만,268
[취미/라이프],제이제이살롱드핏,97만,1억8007만,415
[게임],텔론,97만,8억8931만,"3,084"
[음식/요리/레시피],SOF,97만,3억5495만,"1,506"
[게임],코너Korner,97만,5억7834만,575
[스포츠/운동],말왕TV,96만,3억2930만,878
[미분류],MayTree,96만,1억1478만,137
[뉴스/정치/사회],KBS 다큐,96만,5억6035만,"49,719"
[해외],TNT,95만,5억9517만,"4,321"
[음악/댄스/가수],일반인들의 소름돋는 라이브 / Best covers,94만,3억7460만,"3,686"
[키즈/어린이],마시따 MASITTA,94만,5억5429만,216
[키즈/어린이],퍼플 토이박스(Purple Toy Box),94만,5억8173만,"1,342"
[음악/댄스/가수],장범준,94만,3억4879만,504
[게임],액션홍구,94만,5억2518만,"2,903"
[TV/방송],키에커,94만,2억6060만,151
[뉴스/정치/사회],SBS Radio 에라오,93만,4억9821만,"15,891"
[TV/방송],유병재,93만,1억1166만,124
[BJ/인물/연예인],남순 NS,93만,9억0695만,"3,517"
[음악/댄스/가수],KIM HYUN JOONG.official,93만,1억1576만,317
[게임],마재TV,93만,6억4962만,"3,796"
[BJ/인물/연예인],(MUTUBE)와꾸대장봉준,93만,8억0264만,"7,658"
[게임],잉여맨 유튜브,92만,8억0601만,"2,049"
[뉴스/정치/사회],뉴스TVCHOSUN,92만,6억7902만,"63,744"
[음식/요리/레시피],삼대장 Samdaejang,92만,4억8762만,"1,052"
[TV/방송],YG TREASURE BOX,91만,2억4975만,496
[BJ/인물/연예인],띠미 ddimmi,91만,3억4194만,703
[키즈/어린이],Boram Tube Friends,91만,731만,73
[음식/요리/레시피],가르마[GARMA],91만,2억5739만,"1,110"
[패션/미용],디렉터 파이,91만,1억2272만,259
[게임],괴물쥐 유튜브,91만,6억0497만,848
[게임],유키 YOUKI,91만,2억0676만,889
[미분류],연스커플 Yeon's Couple,91만,1억5076만,223
[BJ/인물/연예인],U.M.A.우마,91만,2억1338만,137
[TV/방송],배꼽빌라,90만,2억7413만,375
[음악/댄스/가수],ALiEN,90만,1억7915만,257
[게임],테드TV,90만,7억9385만,"2,173"
[미분류],Louis Vuitton,90만,3억9002만,278
[패션/미용],윤쨔미 YoonCharmi,89만,2억3312만,321
[패션/미용],Saerom Min개코의 오픈스튜디오,89만,9929만,146
[BJ/인물/연예인],슛뚜sueddu,89만,4246만,173
[음악/댄스/가수],MUPLY 뮤플리,89만,2억1729만,419
[영화/만화/애니],LICO TV,89만,1억2707만,186
[게임],군림보,89만,5억9585만,"4,772"
[TV/방송],김이브님 [kim eve],89만,6억3040만,"2,836"
[키즈/어린이],토깽이네,89만,8억6509만,"1,358"
[애완/반려동물],Girls Planet,88만,2억8765만,377
[영화/만화/애니],WatchcarTV,88만,4억1173만,201
[미분류],핏블리 FITVELY,88만,2억0300만,561
[뉴스/정치/사회],배승희 변호사,88만,3억9733만,"1,192"
[미분류],김소형 채널H,88만,1억5300만,743
[뉴스/정치/사회],신인균의 국방TV,87만,4억0392만,"1,541"
[음악/댄스/가수],MUSIC&NEW 뮤직앤뉴,87만,9억2624만,"6,766"
[미분류],공부왕찐천재 홍진경,87만,7729만,75
[미분류],밀라논나 Milanonna,87만,5366만,79
[음악/댄스/가수],SF9,87만,6331만,264
[국내/해외/여행],Sophie Kim _하은,87만,2793만,117
[미분류],김작가 TV,87만,1억6085만,"1,252"
[게임],머독방송,87만,7억7574만,"11,373"
[미분류],미션 파서블,86만,9879만,92
[미분류],사피엔스 스튜디오,86만,2억3928만,"2,638"
[키즈/어린이],POYO Music Official,86만,6억6092만,"1,434"
[키즈/어린이],액션 Action,86만,4억1717만,"1,588"
[음악/댄스/가수],missA,86만,3억6064만,49
[키즈/어린이],뚜아뚜지TV,86만,3억5740만,"1,211"
[취미/라이프],달려라치킨 Dalchi,86만,2억1393만,590
[게임],연다,86만,5억1654만,"1,798"
[TV/방송],옛능 : MBC 옛날 예능 다시보기,85만,10억3700만,"2,050"
[해외],Variety,85만,4억0999만,"4,041"
[뉴스/정치/사회],MBN News,85만,8억6707만,"95,013"
[음악/댄스/가수],TSENT2008,84만,3억8071만,445
[키즈/어린이],Toystar TV,84만,3억4242만,72
[회사/오피셜],SM C&C STUDIO,84만,1억0082만,476
[게임],울산큰고래 박성주,84만,6억2224만,"3,096"
[음식/요리/레시피],고기남자 MeatMan,84만,1억0324만,68
[음악/댄스/가수],ALL THE K-JAM 올더케이잼,84만,8억5667만,"13,428"
[음악/댄스/가수],HOLLAND,84만,2942만,28
[뉴스/정치/사회],딴지방송국,84만,1억8930만,639
[애완/반려동물],냥이아빠,83만,2억8000만,444
[TV/방송],라이프타임,83만,3억0437만,"1,523"
[음식/요리/레시피],뽐뽐뽐,83만,6394만,175
[미분류],임한올 Hanol Rim,83만,8833만,139
[TV/방송],z a m,83만,5억7017만,"1,777"
[패션/미용],Jella젤라,83만,5595만,185
[교육/강의],라이브 아카데미,83만,7402만,458
[영화/만화/애니],Hello Jadoo TV 안녕 자두야,82만,3억0754만,467
[영화/만화/애니],리뷰엉이: Owl's Review,82만,2억9818만,449
[BJ/인물/연예인],강유미 yumi kang좋아서 하는 채널,82만,1억8596만,310
[게임],돼지저금통,82만,13억6436만,"5,472"
[영화/만화/애니],빨강도깨비,82만,3억2514만,330
[BJ/인물/연예인],쿠쿠크루 - Cuckoo Crew,82만,4억4973만,616
[음식/요리/레시피],서담SEODAM,82만,1억4598만,230
[IT/기술/컴퓨터],1분과학,82만,7570만,60
[미분류],1분미만,82만,1억6976만,118
[IT/기술/컴퓨터],의학채널 비온뒤,82만,1억7783만,"4,248"
[키즈/어린이],고고다이노-GOGO DINO,82만,6억0006만,801
[음악/댄스/가수],CL,81만,5661만,5
[게임],개리형,81만,3억0961만,544
[취미/라이프],Mimine Miniature 미미네 미니어처,81만,1억5781만,162
[TV/방송],Mdromeda KPOP,81만,2억3840만,447
[TV/방송],이환,81만,2억5901만,334
[TV/방송],Megan Moon,81만,1억2819만,516
[패션/미용],UNA 유나,81만,6408만,148
[음악/댄스/가수],Jenny Yun,81만,1억1465만,554
[해외],ZeeKay Junior,80만,8억1031만,841
[TV/방송],fantagio 판타지오,80만,1억7565만,213
[음악/댄스/가수],PARK JIHOON Official,80만,3903만,170
[BJ/인물/연예인],SUNBA선바,80만,9억5018만,"2,219"
[영화/만화/애니],신비아파트 공식채널 - Shinbi House,80만,4억4293만,"1,052"
[패션/미용],areumsongee아름송이,80만,6617만,177
[미분류],TOP MEDIA,80만,1억5960만,497
[키즈/어린이],리틀조이 LittleJoy,79만,2억2177만,194
[음악/댄스/가수],OFFICIAL EPIK HIGH,79만,2억2486만,208
[TV/방송],리모콘 by iHQ,79만,6억8670만,"5,030"
[TV/방송],준우,79만,1억8178만,157
[영화/만화/애니],9bul,79만,2억2723만,201
[미분류],Rolling Stone,79만,2억5240만,"2,874"
[게임],Partition Zion,79만,3억4030만,919
[패션/미용],한별Hanbyul,78만,1억2429만,272
[미분류],Jin & Juice,78만,1억2856만,167
[음식/요리/레시피],THE BOB - 더 밥 스튜디오,78만,5328만,502
[TV/방송],찬우살이,78만,2770만,140
[BJ/인물/연예인],StimBoy스팀보이,78만,3억6465만,649
[음악/댄스/가수],• m i n a m o c h i •,78만,3억3807만,118
[TV/방송],STUDIO DIA 스튜디오 다이아,78만,2억0113만,506
[영화/만화/애니],람다람,78만,8455만,60
[TV/방송],옐언니,78만,1억8634만,331
[음악/댄스/가수],HyunA 현아 (Official YouTube Channel),78만,9864만,10
[국내/해외/여행],빠니보틀 Pani Bottle,78만,1억5264만,210
[미분류],하하 PD HAHA PD,77만,3756만,70
[주식/경제/부동산],E트렌드,77만,6857만,"1,346"
[뉴스/정치/사회],조선일보,77만,4억1540만,"12,856"
[음악/댄스/가수],BRANDNEW MUSIC,77만,2억6238만,"1,236"
[키즈/어린이],메카드 - MECARD OFFICIAL,77만,6억0302만,"1,170"
[애완/반려동물],속삭이는몽자,77만,1억8559만,449
[미분류],토모토모TomoTomo,77만,1억1386만,112
[TV/방송],TongTongTv 통통컬처,77만,5억3516만,"11,209"
[게임],김왼팔,77만,4억7081만,"2,106"
[게임],Dorami,77만,1억8879만,"1,056"
[BJ/인물/연예인],케이,77만,5억0126만,"3,127"
[음악/댄스/가수],wondergirls,77만,4억0515만,217
[게임],T1,77만,2억0986만,"2,547"
[TV/방송],이라이라경 ravely,77만,2억0545만,326
[음악/댄스/가수],H1GHR MUSIC,76만,2억0313만,457
[취미/라이프],공대생가족 GDSF,76만,3억1157만,"1,226"
[미분류],엄마의손맛,76만,1억5193만,546
[뉴스/정치/사회],엠빅뉴스,76만,15억7344만,"3,690"
[미분류],양장금주부,76만,1억5410만,542
[TV/방송],히스토리,76만,4억7812만,"1,782"
[미분류],SISSEL,76만,3604만,209
[TV/방송],POWER MOVIE,76만,2억2452만,217
[키즈/어린이],주니토니 동요동화 - 키즈캐슬,76만,6억9152만,575
[애완/반려동물],다흑,75만,4억7679만,"2,341"
[키즈/어린이],ToyCheff,75만,3억5415만,447
[게임],탁주 TV,75만,15억1852만,"1,988"
[키즈/어린이],Robot Trains official,75만,5억5345만,744
[게임],GCL 지씨엘,75만,1억9367만,302
[미분류],뽀송한 준_bosungjun,75만,4798만,87
[TV/방송],Zaty Farhani,75만,8억0148만,"1,643"
[TV/방송],KBS N,74만,12억2503만,"13,419"
[뉴스/정치/사회],빽능 - 스브스 옛날 예능,74만,8억3195만,"3,270"
[TV/방송],타임스낵,74만,1억8792만,195
[패션/미용],리아루아 LIALUA,74만,2억0595만,314
[미분류],랄로,74만,2억3078만,348
[BJ/인물/연예인],bobaepapa - 보배아빠,74만,3억3292만,334
[교육/강의],법륜스님의 희망세상만들기,73만,3억6594만,724
[패션/미용],Yoo's Beauty 희주,73만,2263만,105
[TV/방송],Travel Tube,73만,7억5487만,"1,364"
[TV/방송],LDF TV by lottedutyfree,73만,5억6257만,"1,246"
[패션/미용],yeondukong 연두콩,73만,9689만,367
[미분류],ROKSEAL,73만,7060만,79
[미분류],CU [씨유튜브],73만,1861만,211
[미분류],Golden Disc Awards,73만,1억8857만,501
[패션/미용],sunnydahye,73만,5041만,334
[음악/댄스/가수],HYOLYN 효린,73만,1억3388만,111
[미분류],지켜츄 Chuu Can Do It,73만,3951만,57
[애완/반려동물],시바견 곰이탱이여우,73만,3억5575만,"1,185"
[BJ/인물/연예인],송대익 songdaeik,73만,3억7625만,439
[TV/방송],스튜디오 룰루랄라- studio lululala,72만,1억9090만,890
[게임],러너꽃빈TV,72만,5억8928만,"3,155"
[TV/방송],핫소스,72만,4억5549만,461
[영화/만화/애니],UTZI웃지,72만,3억9787만,242
[음식/요리/레시피],띠예,72만,8228만,39
[TV/방송],Kyunghamin твоя корейская онни,72만,6307만,329
[교육/강의],닥터프렌즈,72만,1억3481만,496
[음악/댄스/가수],DKDKTV,72만,1억5367만,"1,097"
[음악/댄스/가수],VICTON 빅톤,72만,1억4160만,666
[음악/댄스/가수],B1A4 OFFICIAL +,72만,1억8404만,317
[미분류],천뚱TV,72만,6428만,32
[뉴스/정치/사회],전옥현 안보정론TV,72만,3억3197만,"4,226"
[취미/라이프],DanoTV,72만,1억3512만,570
[뉴스/정치/사회],KBS 교양,72만,5억5807만,"66,626"
[미분류],랭킹스쿨 Ranking School,72만,3억6912만,647
[음악/댄스/가수],Yuni Marimba 유니 마림바,72만,9223만,103
[음악/댄스/가수],Healing Meditation,72만,7080만,212
[음악/댄스/가수],MBC WORLD,71만,5억4154만,"4,756"
[BJ/인물/연예인],대륙남TV [clark tv],71만,3억9339만,"3,027"
[미분류],leeminho film,71만,1076만,14
[게임],스페셜솔져 - 모바일FPS,71만,1504만,137
[음식/요리/레시피],윰댕(yum-cast),71만,5억1637만,"3,231"
[키즈/어린이],지호토이TV JIHOTOY,71만,5억6264만,"1,847"
[BJ/인물/연예인],외질혜 (OzilTube),71만,4억3384만,"1,587"
[TV/방송],나혼자산다 STUDIO,71만,2억2335만,287
[패션/미용],헤이즐 Heizle,71만,7453만,290
[음악/댄스/가수],HEADLINER,71만,1억6786만,186
[음악/댄스/가수],SonyToby,71만,7180만,94
[미분류],이재성 박사의 식탁보감,71만,5490만,229
[음악/댄스/가수],Official fromis_9,71만,2억1126만,486
[TV/방송],뉴스엔·NewsenTV·KOREA Entertainment news,70만,2억4140만,"8,396"
[뉴스/정치/사회],채널A 뉴스TOP10,70만,5억7089만,"16,082"
[교육/강의],THE J,70만,1억2354만,535
[키즈/어린이],ToyMoon토이문,70만,2억6213만,251
[뉴스/정치/사회],연합뉴스TV,70만,9억1813만,"362,555"
[뉴스/정치/사회],가로세로연구소,70만,4억5293만,"2,913"
[취미/라이프],Soy ASMR,70만,1억4138만,435
[음악/댄스/가수],임창정,69만,1억9745만,294
[회사/오피셜],KB국민카드,69만,2억1957만,512
[TV/방송],김달,69만,2억2797만,729
[게임],Charming Jo 조매력,69만,1억8822만,"1,150"
[미분류],육식맨 YOOXICMAN,69만,1억0968만,99
[TV/방송],smile -wA-,69만,5억1761만,"5,323"
[영화/만화/애니],Sechi,69만,2억2319만,267
[미분류],이리오너라,69만,4837만,"1,555"
[음악/댄스/가수],TEEN TOP Official,69만,1억9631만,775
[미분류],함께해요 맛나요리,69만,1억5839만,424
[키즈/어린이],코코몽 COCOMONG TV - Cartoon & Song For Kids,69만,8억4843만,"1,188"
[음식/요리/레시피],인아짱 Inah Eats,69만,1억4507만,997
[BJ/인물/연예인],긱블 Geekble,69만,1억7651만,300
[미분류],뀨러기 [kkyuleogi],69만,1억7770만,240
[영화/만화/애니],DAZBEE official,69만,2억3812만,121
[영화/만화/애니],써리의 영상툰 SSULY TOON,69만,4억6717만,945
[패션/미용],에바EVA,69만,1억0104만,299
[음악/댄스/가수],LJ Dance,68만,9182만,"1,744"
[TV/방송],시미켄 TV,68만,9459만,89
[음악/댄스/가수],MBK Entertainment [Official],68만,3억8726만,417
[키즈/어린이],애니한TV AnnieHanTV,68만,6억4543만,"1,145"
[미분류],방가네,68만,1억5376만,182
[국내/해외/여행],EBS 컬렉션 - 라이프스타일,68만,4억0731만,"2,907"
[키즈/어린이],로보카폴리 TV,68만,4억2331만,"1,045"
[음악/댄스/가수],PianiCast - 피아니캐스트,68만,1억7192만,106
[게임],문호준,68만,4억1951만,"1,046"
[BJ/인물/연예인],난쟁이성현,68만,1억7203만,678
[뉴스/정치/사회],이봉규TV,68만,4억2547만,"6,765"
[미분류],이슈왕 TV,68만,3억4037만,997
[패션/미용],김습습Double Soup,68만,5270만,274
[미분류],DAWN,68만,4627만,33
[취미/라이프],ASMR Ouvir 오비르,68만,1억1429만,149
[미분류],랄랄ralral,68만,1억1809만,324
[미분류],웅이woongei,68만,1억4282만,264
[뉴스/정치/사회],스브스뉴스 SUBUSU NEWS,68만,7억0792만,"2,495"
[음악/댄스/가수],Bigman,68만,5333만,45
[TV/방송],SIMI TV,68만,8017만,76
[미분류],SM STATION,67만,4300만,90
[키즈/어린이],간니닌니 다이어리,67만,6억0445만,"1,762"
[뉴스/정치/사회],Newstapa,67만,2억3417만,"3,750"
[게임],밍모,67만,4억2713만,"1,416"
[뉴스/정치/사회],펜앤드마이크TV,67만,4억6732만,"10,522"
[음식/요리/레시피],권회훈,67만,2억6905만,"1,273"
[미분류],주부나라,67만,1억5022만,763
[게임],김성회의 G식백과,67만,1억4391만,217
[TV/방송],제이제이,67만,1억9656만,501
[패션/미용],새벽,67만,9330만,505
[취미/라이프],미니미니 MiniMini,67만,3억1838만,326
[TV/방송],레바스튜디오,66만,2억8658만,420
[TV/방송],덕출 : DCTVGO,66만,1억7261만,314
[미분류],815머니톡,66만,1억6213만,"2,624"
[미분류],과나gwana,66만,8830만,76
[게임],강 지,66만,4억8071만,"1,072"
[음악/댄스/가수],조싀앤바믜 Josh & Bamui,66만,1억8039만,193
[TV/방송],백만뷰,66만,4억4818만,"9,311"
[교육/강의],입시덕후,66만,2억6823만,398
[음악/댄스/가수],GIRL'S DAY,66만,2억4594만,150
[패션/미용],Ha Neul오늘의 하늘,66만,1억0185만,284
[음식/요리/레시피],Team_SeikaTV(팀세이카),66만,1억3286만,115
[BJ/인물/연예인],깨박이,66만,3억7440만,"1,248"
[미분류],스토리,66만,8962만,39
[패션/미용],로즈하ROSEHA,65만,7118만,176
[미분류],직업의모든것,65만,2억2493만,294
[TV/방송],김용호연예부장,65만,1억2150만,256
[패션/미용],Dear.Jerry제리,65만,4178만,153
[뉴스/정치/사회],한국경제TV,65만,2억0447만,"49,733"
[패션/미용],LENA,65만,1억3387만,136
[BJ/인물/연예인],요리왕비룡 Korean Food Cooking,65만,1억3112만,584
[게임],수탉,65만,3억0872만,"1,310"
[TV/방송],PANGKICK 팡킥,65만,2억1490만,85
[음식/요리/레시피],키미 Kimi,65만,4536만,91
[키즈/어린이],뿌직PPUJIG,65만,4억8725만,425
[게임],Official Dopa,65만,2억9130만,"1,220"
[음식/요리/레시피],허미노MINO,65만,2억4492만,"1,670"
[주식/경제/부동산],코스픽(KosPick),64만,2411만,"1,182"
[음식/요리/레시피],입질의추억TV jiminTV,64만,1억8868만,320
[TV/방송],걍밍경,64만,3692만,34
[패션/미용],금강연화,64만,2억4077만,621
[미분류],송슐랭 가이드 - SONGCHELIN GUIDE,64만,1885만,110
[스포츠/운동],JK 아트사커 온라인,64만,2억2469만,409
[영화/만화/애니],CK Animation School_2016-2018,64만,2억0534만,698
[패션/미용],Q2HAN,64만,6930만,697
[주식/경제/부동산],부동산 읽어주는 남자,64만,6528만,464
[자동차],우파푸른하늘Woopa TV,64만,3억3901만,947
[TV/방송],tweety 트위티,64만,7266만,153
[영화/만화/애니],홍시네마,64만,2억0353만,156
[미분류],지식한입,63만,4301만,54
[음악/댄스/가수],BELLA&LUCAS 벨라앤루카스,63만,7479만,290
[게임],유소나,63만,1억9937만,709
[미분류],검은고양이 다홍 Blackcat Dahong,63만,3654만,44
[미분류],꼰대희,63만,9671만,104
[IT/기술/컴퓨터],테크몽 Techmong,63만,8674만,341
[게임],퀸톨 TV,63만,4억6404만,"2,067"
[BJ/인물/연예인],김도고 Doggo Kim,63만,1억5771만,153
[게임],LCK,63만,4억9228만,"3,893"
[TV/방송],Spinel CAM,63만,6억7573만,"8,576"
[키즈/어린이],손오공,63만,6억4744만,729
[취미/라이프],여정을떠난여정,63만,1억3632만,285
[패션/미용],도영도영이,62만,4351만,162
[미분류],팩토리,62만,5648만,27
[미분류],deemd 딤디,62만,6070만,141
[미분류],쏘대장,62만,1억2243만,309
[미분류],단하나 DANHANA,62만,1억0625만,87
[미분류],지기TV,62만,1억4720만,703
[TV/방송],OCN,62만,5억7258만,"11,771"
[미분류],나르앤나르시Nar.Couple,62만,6954만,130
[패션/미용],会社員J,62만,1억2295만,391
[TV/방송],매미킴 TV,62만,1억5659만,248
[TV/방송],Rio y Christian,62만,5448만,294
[음악/댄스/가수],정동원TV,62만,2억2089만,263
[음악/댄스/가수],다이아나Diana,62만,1억7087만,"1,773"
[게임],저라뎃 JUSTLIKETHAT,62만,5억6190만,"2,888"
[음악/댄스/가수],lEtudel,62만,2억4202만,"2,969"
[BJ/인물/연예인],예씨 yessii,62만,3억7695만,778
[미분류],Bravo jamoasi,61만,1억1550만,84
[패션/미용],소윤Soyoon,61만,5958만,154
[게임],코아 TV,61만,4억2653만,"1,031"
[게임],삼식,61만,2억2138만,"1,906"
[음식/요리/레시피],한식푸우 Korean food,61만,2억4368만,"1,578"
[TV/방송],샒의 삶Serim's life,61만,1억8571만,520
[음식/요리/레시피],맛상무,61만,2억3081만,"1,266"
[TV/방송],씨그널V [ Signal V ],61만,2억8935만,731
[미분류],캡틴 파추호 Captain PaChuHO,61만,3535만,50
[패션/미용],슈스스TV,61만,0,0
[키즈/어린이],지니어드벤쳐 GeniAdventure (공룡∙과학 Dinosaurs),61만,5억9230만,426
[IT/기술/컴퓨터],UNDERkg,61만,3억1548만,"2,288"
[미분류],지피티,61만,1억2648만,713
[영화/만화/애니],Netflix Korea 넷플릭스 코리아,61만,1억6433만,"1,339"
[TV/방송],MBC 미스터리 : 심야괴담회 X 서프라이즈,61만,2억6097만,"1,122"
[뉴스/정치/사회],성제준TV,61만,1억9273만,966
[음식/요리/레시피],sini시니,61만,2억2962만,672
[TV/방송],tvN 인사이트,60만,2억0719만,"1,736"
[패션/미용],골근위수영뷰티아카데미,60만,4억2807만,356
[키즈/어린이],뽀로로 타요 장난감 놀이교실,60만,3억8768만,807
[자동차],김한용의 MOCAR,60만,2억7166만,"1,158"
[음악/댄스/가수],노래하는코트,60만,3억1952만,"2,297"
[TV/방송],코니tv conitv,60만,9581만,432
[게임],눈쟁이,60만,2억4134만,"2,166"
[취미],여락이들_,60만,1억4085만,332
[미분류],짧은대본 ShortPaper,60만,1억2872만,129
[게임],TV대정령,60만,6억3421만,"7,454"
[미분류],과학드림 [Science Dream],60만,9669만,102
[음악/댄스/가수],FTISLAND (FT아일랜드),60만,1억3955만,145
[미분류],로하Roha,60만,7787만,108
[스포츠/운동],강하나 스트레칭_stretching,60만,5374만,293
[음식/요리/레시피],바다곰조해웅Seabear,60만,1억2602만,387
[미분류],영기티비,60만,9518만,223
[게임],로이조 TV,60만,4억3610만,"2,605"
[미분류],[윤이련]50년 요리비결,60만,1억4399만,305
[미분류],유 퀴즈 온 더 튜브,60만,2억3639만,"2,520"
[미분류],엠뚜루마뚜루 : MBC 공식 종합 채널,60만,6억9257만,"1,185"
[뉴스/정치/사회],MTN 머니투데이방송,59만,5억0901만,"56,166"
[미분류],할명수,59만,4361만,62
[미분류],STAYC,59만,1억2672만,100
[미분류],하알라,59만,1억3962만,190
[TV/방송],NICKY니키,59만,1억8486만,738
[게임],JUNE,59만,5억9364만,"1,293"
[취미/라이프],이연LEEYEON,59만,4021만,170
[게임],서넹,59만,2억1724만,"2,819"
[주식/경제/부동산],단희TV,59만,6555만,849
[TV/방송],티키틱 TIKITIK,59만,1억2161만,142
[미분류],깨방정,59만,1억7546만,364
[뉴스/정치/사회],팩트TV NEWS,59만,5억1527만,"19,645"
[취미/라이프],딩가의 회전목마 DINGA,59만,6928만,171
[패션/미용],leeanfilm리안,59만,4911만,184
[미분류],A24,58만,6억2189만,532
[취미/라이프],김나영의 nofilterTV,58만,1억0898만,310
[TV/방송],drighk fancam 2015,58만,4억3009만,"5,284"
[교육/강의],친절한 대학,58만,5600만,553
[미분류],양세브라더스,58만,2450만,16
[BJ/인물/연예인],상해기SangHyuk,58만,1억2967만,311
[애완/반려동물],김메주와 고양이들,58만,1억9318만,968
[TV/방송],Olive,58만,6억3953만,"17,128"
[해외],Ashley Mariee,58만,5622만,"2,046"
[TV/방송],MAXIM KOREA,58만,3억0666만,"2,033"
[BJ/인물/연예인],최홍철,58만,1억6205만,318
[음식/요리/레시피],더스쿱The SCOOP,58만,8530만,406
[게임],형독방송,58만,5억1571만,"1,840"
[TV/방송],KBS 같이삽시다,57만,2억7518만,"2,972"
[TV/방송],공돌이 용달,57만,1억6606만,197
[BJ/인물/연예인],엣지님,57만,1억9914만,"1,644"
[음악/댄스/가수],God DongMin갓동민,57만,9363만,996
[TV/방송],은하캠핑,57만,1억1104만,201
[키즈/어린이],Troom Troom Kr,57만,3억8159만,"1,883"
[취미/라이프],ConCorea TV,57만,1416만,625
[미분류],McDonald's,57만,1억2034만,204
[게임],진호,57만,3억0659만,"2,434"
[TV/방송],STATV,57만,1억8904만,"7,461"
[음악/댄스/가수],SUGA - Topic,57만,1만,1
[음식/요리/레시피],SINCOOK - 신쿡,57만,1억0392만,482
[뉴스/정치/사회],고성국TV,57만,2억7709만,"7,071"
[미분류],코믹마트,57만,1억8654만,227
[음악/댄스/가수],May J Lee 메이제이 리,57만,2861만,40
[BJ/인물/연예인],덕자전성시대,56만,6116만,140
[TV/방송],KBS Entertain: 깔깔티비,56만,7억9237만,"4,854"
