카테고리,이름,구독자 수,조회수,영상 수
[키즈/어린이],로미유 스토리[Romiyu Story],408만,10억6621만,433
[음악/댄스/가수],NCT DREAM,387만,3억7615만,229
[BJ/인물/연예인],허팝Heopop,381만,31억3892만,"1,847"
[취미/라이프],JaeYeol ASMR 재열,380만,10억1154만,970
[애완/반려동물],크림히어로즈,380만,13억7477만,940
[BJ/인물/연예인],워크맨-Workman,379만,6억8319만,141
[BJ/인물/연예인],waveya 2011,373만,13억4628만,702
[키즈/어린이],Lime Tube[라임튜브],373만,25억9542만,"1,723"
[음악/댄스/가수],WINNER,373만,11억7126만,428
[키즈/어린이],CoCosToy 꼬꼬스토이,365만,20억5198만,780
[음악/댄스/가수],백현 Baekhyun,362만,4946만,20
[키즈/어린이],Milana FamilyShow[EN],362만,9억7647만,185
[음악/댄스/가수],NCT 127,357만,3억0391만,185
[BJ/인물/연예인],ARTBEAT,356만,8억7390만,"1,069"
[TV/방송],TV-People,350만,39억1407만,"17,719"
[TV/방송],채널 십오야,349만,6억5063만,451
[TV/방송],KBS Drama,347만,42억6111만,"114,095"
[회사/오피셜],Billboard,336만,11억2601만,"6,654"
[키즈/어린이],리월드RIWORLD,333만,13억0019만,179
[취미/라이프],drawholic,332만,3억6252만,348
[키즈/어린이],제이제이 튜브 [JJ Tube],329만,20억6028만,497
[음악/댄스/가수],KARD,328만,5억9647만,312
[TV/방송],솔라시도 solarsido,328만,2억0128만,246
[키즈/어린이],EBS 키즈,328만,40억6587만,"18,883"
[TV/방송],tvN,326만,46억7755만,"59,409"
[TV/방송],딩고 뮤직 / dingo music,323만,11억6896만,"1,526"
[음악/댄스/가수],(G)I-DLE (여자)아이들 (Official YouTube Channel),321만,9억5419만,199
[키즈/어린이],MariAndToys,316만,5억6535만,188
[키즈/어린이],럭키강이 LuckyKang i,311만,13억2876만,"1,212"
[키즈/어린이],키즈팡TV,309만,19억2463만,"1,833"
[음악/댄스/가수],imlisarhee,308만,4억2318만,547
[스포츠/운동],피지컬갤러리,306만,4억8472만,592
[키즈/어린이],카 로봇 Car Robot,301만,17억7000만,"3,519"
[음식/요리/레시피],FRAN,297만,9억3954만,"1,271"
[음식/요리/레시피],유디티TV,295만,5억9493만,992
[취미/라이프],사나고 Sanago,294만,3억7449만,140
[영화/만화/애니],장삐쭈,294만,12억9975만,365
[취미/라이프],Thankyou BUBU,293만,4억5989만,134
[TV/방송],tvN D ENT,292만,51억6056만,"14,702"
[음악/댄스/가수],ROSÉ Official,291만,1180만,3
[음악/댄스/가수],새송 Saesong,290만,2억8566만,247
[음식/요리/레시피],5 분 Tricks,289만,10억1924만,"3,083"
[음식/요리/레시피],양수빈,284만,4억9949만,224
[TV/방송],옛드 : 옛날 드라마 [드라맛집],280만,49억6003만,"45,915"
[취미/라이프],odg,274만,4억4100만,113
[키즈/어린이],미니팡TV,274만,19억8704만,557
[음식/요리/레시피],한세HANSE,274만,3억7550만,569
[음악/댄스/가수],STUDIO CHOOM [스튜디오 춤],272만,9억9798만,618
[TV/방송],JTBC Voyage,270만,30억4595만,"6,835"
[취미/라이프],팬케이Pan K The Pancake Artist,268만,7억9097만,541
[키즈/어린이],헤이지니 Hey Jini,264만,16억2482만,"1,149"
[음악/댄스/가수],JAY PARK,263만,6억4807만,137
[음식/요리/레시피],나도Nado,261만,6억6868만,681
[TV/방송],PLAYLIST ORIGINALS 플레이리스트 오리지널,257만,9억5736만,659
[뉴스/정치/사회],TVCHOSUN - TV조선,256만,41억9950만,"64,268"
[TV/방송],런닝맨 - 스브스 공식 채널,254만,32억6040만,"53,502"
[음악/댄스/가수],HyunA,252만,3억0180만,58
[음악/댄스/가수],AKMU,252만,6억1841만,148
[뉴스/정치/사회],YTN news,250만,54억6239만,"553,462"
[취미/라이프],ASMR PPOMO,250만,6억6086만,421
[키즈/어린이],ToyFamily,247만,36만,38
[음악/댄스/가수],GIRLS' GENERATION,244만,1억4241만,75
[키즈/어린이],보라미TV BoramiTV,241만,8억2772만,594
[음식/요리/레시피],지현꿍,240만,1억9457만,80
[게임],도티 TV,238만,26억6568만,"3,238"
[미분류],Lizzo Music,235만,9억2723만,71
[BJ/인물/연예인],와썹맨-Wassup Man,234만,3억1089만,177
[음악/댄스/가수],United CUBE (CUBE Entertainment Official YouTube Channel),233만,7억1652만,"1,556"
[TV/방송],ATEEZ,231만,2억2587만,304
[음악/댄스/가수],창현,231만,2억7478만,753
[TV/방송],EBSDocumentary (EBS 다큐),229만,20억6095만,"28,246"
[BJ/인물/연예인],VIVA DANCE STUDIO,225만,3억9020만,"2,023"
[패션/미용],RISABAE,224만,2억6082만,363
[음악/댄스/가수],여자친구 GFRIEND OFFICIAL,223만,4억2959만,515
[BJ/인물/연예인],JOLLY,223만,4억9115만,333
[영화/만화/애니],총몇명,222만,7억5230만,301
[음악/댄스/가수],Jessi,221만,3억1080만,44
[BJ/인물/연예인],흔한남매,221만,20억6784만,768
[패션/미용],미지우 MEJIWOO,220만,3132만,28
[BJ/인물/연예인],진용진,220만,6억2340만,410
[키즈/어린이],또봇 V · 메탈리온 [Tobot V · Metalions],219만,27억0373만,"1,858"
[키즈/어린이],MariAndFriends,219만,14억4598만,"1,743"
[음악/댄스/가수],채널 NCT MUSIC,218만,1억5783만,29
[BJ/인물/연예인],엔조이커플enjoycouple,218만,7억5124만,518
[키즈/어린이],꼬마버스 타요,217만,16억8701만,"2,243"
[음식/요리/레시피],애정 Aejeong,217만,3억2957만,393
[음악/댄스/가수],SHINee,217만,1억8761만,138
[음식/요리/레시피],꿀키honeykki,217만,2억6668만,424
[음악/댄스/가수],official IZ*ONE,216만,5억3294만,270
[BJ/인물/연예인],해그린달 haegreendal,216만,8740만,59
[BJ/인물/연예인],International Couple[사샤와 제이],216만,2억2690만,142
[음악/댄스/가수],채널 NCT DANCE,214만,1억8432만,42
[키즈/어린이],Boys Playtime,214만,10억0967만,415
[해외],The Wiggles,212만,25억5552만,621
[음악/댄스/가수],SUPER JUNIOR,212만,9512만,186
[TV/방송],스브스 예능맛집,211만,15억8642만,"3,418"
[미분류],MONSTA X,210만,2억3494만,41
[뉴스/정치/사회],SBS Catch,210만,19억7900만,"3,218"
[게임],감스트GAMST,210만,14억0619만,"4,461"
[음식/요리/레시피],푸드킹덤 Food Kingdom,209만,7억4453만,797
[음악/댄스/가수],4Minute 포미닛(Official YouTube Channel),209만,12억3600만,82
[미분류],김종국 GYM JONG KOOK,208만,5408만,10
[음식/요리/레시피],ZOEY ASMR 조이,207만,4억7538만,606
[영화/만화/애니],레이디버그TV,207만,10억8745만,325
[BJ/인물/연예인],공대생 변승주 DS,207만,13억8072만,"1,438"
